unit_id,area,neuron_type,n_same_cat_trials,n_diff_cat_trials,same_cat_diff_mean,same_cat_diff_sem,diff_cat_diff_mean,diff_cat_diff_sem,difference_pvalue,same_cat_ratio_mean,diff_cat_ratio_mean,ratio_pvalue,same_cat_correlation,diff_cat_correlation,adaptation_effect,significant_congruence_effect,is_first_cat_selective,is_first_num_selective,is_second_cat_selective,is_second_num_selective
280,PT,encoding_only,72,216,0.45062066515169225,0.29761884369425645,0.25488595701143457,0.1865340535221158,0.5931957348286385,46.32264416819353,60.32324285102467,0.47710404485595237,0.200604641845273,-0.06921244697033051,none,False,True,False,True,False
281,PT,delay_only,72,216,-0.20592797052038309,0.5913212929157464,-0.6191145340666301,0.3283998368812176,0.5338600809025955,17.974502845944198,27.735366477512443,0.545894680414539,0.1068894024233039,0.01953658307190223,none,False,True,True,True,True
282,PT,delay_only,72,216,-0.7530359439727714,0.7057820474781592,-0.6737479692280985,0.4462179628231048,0.9277670084922403,4.117841831342009,13.404570339494382,0.46851641335649696,0.1453456830109412,-0.04704336946537967,none,False,True,False,True,True
283,PT,encoding_only,72,216,-0.05542207523075225,0.3841429882579127,-0.2503212376956712,0.2737580066513283,0.7100191850943169,39.355739569417025,30.4447776572126,0.6589835803365904,0.2491400605378187,-0.02550667581364762,none,False,True,False,True,False
284,PT,encoding_only,72,216,0.02729372447425708,0.06732991077371052,0.05922755268259545,0.0574243511822585,0.7652528172596306,15.923962873189826,25.898172124112737,0.1664441565477549,0.3524719718659152,-0.016564840406416002,none,False,False,True,False,False
285,PT,encoding_only,72,216,0.1363859440407325,0.3065177597983658,-0.09563761554810994,0.14716273253679313,0.45507883148907313,56.968505815957315,47.80369195664685,0.5453670885964887,0.047628775247999494,-0.0012536947770405002,none,False,True,False,False,True
286,PT,delay_only,72,216,-0.04128522960163466,0.39650595352174994,-0.11827404263190797,0.2784551427720668,0.8854721803161573,57.07842827703853,67.19327183998988,0.6702492101044261,0.17585079821606112,-0.013995902473297551,none,False,True,True,True,False
287,PT,encoding_only,72,216,-0.27368187478585226,0.43734802580907495,0.13681916970357239,0.27922450365043955,0.45249678355343037,71.89756718095663,55.521776292624416,0.5290835545785225,-0.007914821943777527,0.04808321373267614,none,False,True,False,True,False
288,PT,encoding_only,72,216,-0.3554008483917188,0.34098831695941256,-0.008877652224632104,0.21447879460738573,0.4105729200568431,35.065523505181176,53.07226126032538,0.3154461164046585,0.10397230398417494,-0.17818453628222705,none,False,True,False,True,True
289,PT,encoding_only,72,216,-0.27400787091841605,0.5835179812754546,-0.3373173655013357,0.44697948267527493,0.9403057405584665,1.4244135684720811,8.949325488005316,0.265902044085873,0.24161991732366705,-0.004344498434474908,none,False,True,False,True,False
290,PT,encoding_only,72,216,-0.43713605654371473,0.30826011787333923,-0.13225018338561448,0.19408693893621884,0.42354961595790364,26.91940413450368,50.68697219505538,0.12069124907224604,0.09097560167732396,-0.01845010165607127,none,False,True,False,True,False
291,PT,encoding_only,72,216,-0.02744725250048517,0.28061241031518497,-0.004574793759079214,0.21473970334758793,0.9550984401018325,44.745468732492974,73.34698194210021,0.17006441544556392,0.002621721733917298,-0.10222857588754956,none,False,True,True,True,False
292,PT,encoding_only,72,216,-0.027782577743675627,0.549078701138509,0.1591228361192057,0.29099934973961866,0.753789010988421,60.054066617978464,37.75000637160384,0.3571327046262459,0.15349961438201795,0.14500142268149296,none,False,True,False,True,True
293,PT,encoding_only,72,216,-0.1096598671516701,0.509555042487112,0.10939302850908364,0.3193757264119723,0.7269145584054897,23.34033070041123,59.814976801977075,0.11623115878991869,0.13155138523925172,-0.12089986669948403,none,False,True,False,True,False
294,PT,encoding_only,72,216,0.12282170732450674,0.22264860524589186,0.364487954227862,0.16760729768405722,0.4473621452332537,55.45698415199307,73.35711208763603,0.3559679712660695,0.13444685658092037,-0.017489373663318916,none,False,True,False,True,True
295,PT,encoding_only,72,216,0.5733418422981897,0.4959129491654308,0.3869295321850726,0.3575375068201478,0.7849469746890853,39.72603516477591,55.4285915515535,0.5035553620349893,0.315007511323228,-0.10851756155932527,none,False,True,False,True,False
296,PT,encoding_only,72,216,-0.13675113675787304,0.13095306647497992,-0.1593883167011153,0.09910399859306986,0.9040610003658571,18.57710545408277,27.67664075162714,0.33181431509708814,-0.0034353856096789584,0.017488149547139953,none,False,True,False,True,True
297,PT,delay_only,72,216,-0.9031338104075886,1.1336890466726999,-1.1841127916775311,0.625021528162607,0.8243744464845254,45.2772088848788,36.48593847977508,0.6948020502673058,0.19577543262357475,-0.10449076335160054,none,False,True,False,True,True
298,PT,delay_only,72,216,-0.5749723357266855,0.6411917222639842,-0.1451344755034887,0.545584068242184,0.6723979569444076,17.66953564627137,70.8982126950085,0.18021068748191943,0.4627792217494907,-0.007067025267757502,none,False,True,False,True,True
299,AC,encoding_only,72,216,0.08175483738997541,0.11302140218312128,-0.1001370720286088,0.0981018966489855,0.31875921673175556,24.118717320551482,30.876145209701733,0.5331251693514196,0.5149869370409572,0.3454053707886542,none,False,False,True,False,False
