trial,rt,acc,key,t_pre_stim,t_delay1,t_delay2,first_cat,second_cat,first_num,second_num,first_pic,second_pic,probe_cat,probe_pic,probe_validity,probe_num,correct_answer,rt_sliding_mean,cat_comparison,error_type
231.0,2.6341,1.0,0.0,,,,4.0,3.0,5,1,4021.0,3012.0,3.0,1.0,0.0,0.0,0.0,2.2135700000000016,Different,correct
232.0,1.9121,1.0,5.0,,,,4.0,2.0,5,5,4024.0,2023.0,4.0,1.0,1.0,5.0,5.0,2.2087300000000014,Different,correct
233.0,2.2603,1.0,5.0,,,,1.0,2.0,5,5,1024.0,2025.0,2.0,2.0,1.0,5.0,5.0,2.1683200000000014,Different,correct
234.0,3.8639,1.0,0.0,,,,2.0,4.0,5,1,2027.0,4013.0,2.0,2.0,0.0,0.0,0.0,2.2428500000000016,Different,correct
235.0,1.567,1.0,5.0,,,,1.0,3.0,1,5,1019.0,3024.0,3.0,2.0,1.0,5.0,5.0,2.2251500000000015,Different,correct
236.0,3.4563,1.0,0.0,,,,1.0,2.0,5,5,1027.0,2028.0,1.0,2.0,0.0,0.0,0.0,2.4051500000000017,Different,correct
237.0,1.5173,1.0,5.0,,,,4.0,4.0,5,5,4022.0,4024.0,4.0,2.0,1.0,5.0,5.0,2.2728600000000014,Same,correct
238.0,3.0685,1.0,1.0,,,,3.0,3.0,1,1,3014.0,3012.0,3.0,1.0,1.0,1.0,1.0,2.4146700000000014,Same,correct
239.0,3.4499,1.0,5.0,,,,3.0,3.0,5,1,3025.0,3019.0,3.0,1.0,1.0,5.0,5.0,2.5580600000000016,Same,correct
240.0,3.3866,1.0,0.0,,,,3.0,2.0,1,1,3014.0,2017.0,2.0,1.0,0.0,0.0,0.0,2.7116000000000016,Different,correct
241.0,1.787,1.0,0.0,,,,2.0,4.0,1,5,2018.0,4025.0,2.0,2.0,0.0,0.0,0.0,2.6268900000000013,Different,correct
242.0,1.5909,1.0,5.0,,,,1.0,1.0,1,5,1017.0,1028.0,1.0,2.0,1.0,5.0,5.0,2.5947700000000014,Same,correct
243.0,3.1959,1.0,1.0,,,,3.0,1.0,1,1,3018.0,1014.0,3.0,1.0,1.0,1.0,1.0,2.6883300000000014,Different,correct
244.0,5.3149,1.0,0.0,,,,4.0,2.0,5,1,4027.0,2016.0,2.0,1.0,0.0,0.0,0.0,2.8334300000000012,Different,correct
245.0,1.7322,0.0,5.0,,,,3.0,3.0,5,1,3029.0,3015.0,3.0,2.0,1.0,1.0,1.0,2.8499500000000015,Same,same category
246.0,1.7687,1.0,1.0,,,,4.0,2.0,5,1,4027.0,2018.0,2.0,2.0,1.0,1.0,1.0,2.6811900000000013,Different,correct
247.0,1.8379,1.0,5.0,,,,4.0,2.0,1,5,4019.0,2028.0,2.0,2.0,1.0,5.0,5.0,2.7132500000000013,Different,correct
248.0,1.875,1.0,1.0,,,,1.0,3.0,1,5,1014.0,3028.0,1.0,1.0,1.0,1.0,1.0,2.5939000000000014,Different,correct
249.0,1.9108,1.0,1.0,,,,4.0,1.0,1,1,4012.0,1017.0,4.0,1.0,1.0,1.0,1.0,2.439990000000001,Different,correct
