trial,rt,acc,key,t_pre_stim,t_delay1,t_delay2,first_cat,second_cat,first_num,second_num,first_pic,second_pic,probe_cat,probe_pic,probe_validity,probe_num,correct_answer,rt_sliding_mean,cat_comparison,num_comparison,error_type
158.0,6.890374422073364,1.0,0.0,,,,4.0,2.0,1,1,4014.0,2018.0,4.0,2.0,0.0,0.0,0.0,4.21790578365326,Different,Same,correct
159.0,4.886276960372925,1.0,0.0,,,,2.0,4.0,5,1,2022.0,4017.0,4.0,1.0,0.0,0.0,0.0,4.302195835113525,Different,Different,correct
160.0,3.0945794582366943,1.0,1.0,,,,2.0,2.0,1,1,2012.0,2018.0,2.0,1.0,1.0,1.0,1.0,4.263333320617676,Same,Same,correct
161.0,3.12831449508667,1.0,0.0,,,,1.0,4.0,1,1,1011.0,4013.0,4.0,1.0,0.0,0.0,0.0,4.024168610572815,Different,Same,correct
162.0,6.188995599746704,1.0,0.0,,,,2.0,1.0,1,5,2011.0,1021.0,2.0,2.0,0.0,0.0,0.0,4.433785223960877,Different,Different,correct
163.0,2.1322314739227295,1.0,5.0,,,,4.0,3.0,5,5,4024.0,3027.0,4.0,1.0,1.0,5.0,5.0,4.18745186328888,Different,Same,correct
164.0,2.349372625350952,1.0,1.0,,,,3.0,3.0,1,1,3017.0,3011.0,3.0,1.0,1.0,1.0,1.0,3.9418159246444704,Same,Same,correct
165.0,5.206329822540283,1.0,1.0,,,,1.0,3.0,5,1,1021.0,3019.0,3.0,2.0,1.0,1.0,1.0,4.2652120113372805,Different,Different,correct
166.0,3.536311149597168,1.0,5.0,,,,3.0,2.0,5,5,3023.0,2023.0,3.0,1.0,1.0,5.0,5.0,4.010452055931092,Different,Same,correct
167.0,2.97373104095459,1.0,5.0,,,,1.0,1.0,5,5,1025.0,1023.0,1.0,1.0,1.0,5.0,5.0,4.038651704788208,Same,Same,correct
168.0,4.936465501785278,1.0,0.0,,,,2.0,4.0,1,1,2012.0,4014.0,4.0,1.0,0.0,0.0,0.0,3.8432608127593992,Different,Same,correct
169.0,3.156155824661255,1.0,1.0,,,,3.0,2.0,5,1,3024.0,2016.0,2.0,2.0,1.0,1.0,1.0,3.6702486991882326,Different,Different,correct
170.0,4.1553661823272705,1.0,0.0,,,,3.0,3.0,1,5,3017.0,3028.0,2.0,1.0,0.0,0.0,0.0,3.77632737159729,Same,Different,correct
171.0,3.917971134185791,1.0,5.0,,,,3.0,1.0,5,5,3029.0,1027.0,1.0,2.0,1.0,5.0,5.0,3.855293035507202,Different,Same,correct
172.0,6.7657880783081055,1.0,5.0,,,,1.0,3.0,5,5,1028.0,3027.0,3.0,2.0,1.0,5.0,5.0,3.9129722833633425,Different,Same,correct
173.0,3.893218517303467,1.0,1.0,,,,4.0,1.0,1,5,4012.0,1028.0,4.0,1.0,1.0,1.0,1.0,4.089070987701416,Different,Different,correct
174.0,5.044739246368408,1.0,0.0,,,,3.0,1.0,1,1,3015.0,1014.0,3.0,2.0,0.0,0.0,0.0,4.358607649803162,Different,Same,correct
175.0,2.1676836013793945,1.0,1.0,,,,1.0,4.0,1,5,1012.0,4022.0,1.0,1.0,1.0,1.0,1.0,4.054743027687072,Different,Different,correct
176.0,3.4592020511627197,1.0,1.0,,,,4.0,4.0,1,5,4018.0,4023.0,4.0,1.0,1.0,1.0,1.0,4.047032117843628,Same,Different,correct
177.0,3.5586721897125244,1.0,1.0,,,,3.0,2.0,1,5,3016.0,2025.0,3.0,1.0,1.0,1.0,1.0,4.105526232719422,Different,Different,correct
178.0,3.4713969230651855,1.0,5.0,,,,2.0,2.0,5,1,2028.0,2014.0,2.0,1.0,1.0,5.0,5.0,3.9590193748474123,Same,Different,correct
179.0,1.9199094772338867,1.0,5.0,,,,4.0,4.0,5,5,4026.0,4025.0,4.0,2.0,1.0,5.0,5.0,3.8353947401046753,Same,Same,correct
180.0,3.6634137630462646,0.0,0.0,,,,2.0,4.0,1,1,2017.0,4011.0,2.0,1.0,1.0,1.0,1.0,3.7861994981765745,Different,Same,swap error
181.0,3.0709376335144043,1.0,5.0,,,,2.0,2.0,1,5,2012.0,2024.0,2.0,2.0,1.0,5.0,5.0,3.701496148109436,Same,Different,correct
182.0,5.380054473876953,1.0,0.0,,,,4.0,1.0,5,1,4021.0,1012.0,4.0,2.0,0.0,0.0,0.0,3.562922787666321,Different,Different,correct
183.0,4.4007041454315186,1.0,0.0,,,,1.0,2.0,5,5,1023.0,2028.0,1.0,2.0,0.0,0.0,0.0,3.613671350479126,Different,Same,correct
184.0,7.727914333343506,1.0,0.0,,,,1.0,1.0,5,1,1029.0,1016.0,4.0,2.0,0.0,0.0,0.0,3.881988859176636,Same,Different,correct
185.0,7.976790189743042,0.0,5.0,,,,4.0,1.0,5,1,4027.0,1019.0,1.0,1.0,0.0,0.0,0.0,4.462899518013001,Different,Different,other error
186.0,2.376849412918091,1.0,5.0,,,,3.0,1.0,1,5,3012.0,1028.0,1.0,2.0,1.0,5.0,5.0,4.354664254188537,Different,Different,correct
187.0,1.458486795425415,1.0,5.0,,,,2.0,1.0,5,1,2023.0,1018.0,2.0,1.0,1.0,5.0,5.0,4.144645714759827,Different,Different,correct
188.0,3.3696699142456055,1.0,0.0,,,,3.0,1.0,5,5,3021.0,1024.0,1.0,1.0,0.0,0.0,0.0,4.1344730138778685,Different,Same,correct
189.0,2.245413303375244,1.0,1.0,,,,3.0,2.0,1,1,3018.0,2019.0,2.0,2.0,1.0,1.0,1.0,4.167023396492004,Different,Same,correct
190.0,8.982167720794678,0.0,0.0,,,,1.0,4.0,5,1,1022.0,4012.0,1.0,1.0,1.0,5.0,5.0,4.698898792266846,Different,Different,swap error
191.0,3.588508367538452,1.0,5.0,,,,1.0,1.0,1,5,1019.0,1029.0,1.0,2.0,1.0,5.0,5.0,4.75065586566925,Same,Different,correct
192.0,2.2115914821624756,1.0,0.0,,,,2.0,2.0,1,5,2017.0,2027.0,3.0,2.0,0.0,0.0,0.0,4.433809566497803,Same,Different,correct
193.0,2.8651304244995117,0.0,5.0,,,,4.0,3.0,5,1,4022.0,3018.0,3.0,2.0,1.0,1.0,1.0,4.280252194404602,Different,Different,other error
194.0,1.5355021953582764,1.0,5.0,,,,3.0,3.0,5,5,3026.0,3027.0,3.0,1.0,1.0,5.0,5.0,3.661010980606079,Same,Same,correct
195.0,1.535325288772583,1.0,5.0,,,,4.0,2.0,5,1,4023.0,2019.0,4.0,1.0,1.0,5.0,5.0,3.0168644905090334,Different,Different,correct
196.0,2.8384931087493896,1.0,1.0,,,,1.0,2.0,1,5,1011.0,2026.0,1.0,1.0,1.0,1.0,1.0,3.063028860092163,Different,Different,correct
197.0,3.428220748901367,1.0,1.0,,,,3.0,2.0,5,1,3025.0,2019.0,2.0,2.0,1.0,1.0,1.0,3.2600022554397583,Different,Different,correct
198.0,4.024763107299805,1.0,1.0,,,,3.0,3.0,5,1,3028.0,3019.0,3.0,2.0,1.0,1.0,1.0,3.3255115747451782,Same,Different,correct
199.0,3.097752809524536,1.0,1.0,,,,2.0,1.0,1,1,2018.0,1017.0,1.0,2.0,1.0,1.0,1.0,3.4107455253601073,Different,Same,correct
200.0,1.5389602184295654,1.0,5.0,,,,4.0,4.0,1,5,4018.0,4029.0,4.0,2.0,1.0,5.0,5.0,2.666424775123596,Same,Different,correct
201.0,1.244201898574829,1.0,1.0,,,,4.0,4.0,1,1,4019.0,4012.0,4.0,1.0,1.0,1.0,1.0,2.4319941282272337,Same,Same,correct
202.0,6.571580410003662,1.0,5.0,,,,2.0,3.0,5,5,2026.0,3028.0,2.0,1.0,1.0,5.0,5.0,2.8679930210113525,Different,Same,correct
203.0,19.425945520401,0.0,0.0,,,,1.0,4.0,5,5,1023.0,4024.0,4.0,2.0,1.0,5.0,5.0,4.524074530601501,Different,Same,swap error
204.0,2.0240633487701416,1.0,5.0,,,,2.0,4.0,5,5,2029.0,4026.0,2.0,1.0,1.0,5.0,5.0,4.572930645942688,Different,Same,correct
