trial,rt,acc,key,t_pre_stim,t_delay1,t_delay2,first_cat,second_cat,first_num,second_num,first_pic,second_pic,probe_cat,probe_pic,probe_validity,probe_num,correct_answer,rt_sliding_mean,cat_comparison,num_comparison,error_type
154.0,5.180979013442993,1.0,1.0,,,,2.0,1.0,1,1,2016.0,1011.0,2.0,1.0,1.0,1.0,1.0,5.633489108085632,Different,Same,correct
155.0,4.180265426635742,1.0,1.0,,,,4.0,1.0,5,1,4022.0,1013.0,1.0,2.0,1.0,1.0,1.0,5.6173930168151855,Different,Different,correct
156.0,3.916276693344116,1.0,1.0,,,,3.0,4.0,1,5,3017.0,4029.0,3.0,1.0,1.0,1.0,1.0,5.526739072799683,Different,Different,correct
157.0,4.789287090301514,1.0,5.0,,,,1.0,2.0,5,5,1023.0,2029.0,2.0,2.0,1.0,5.0,5.0,5.464455151557923,Different,Same,correct
158.0,4.720171928405762,1.0,0.0,,,,4.0,2.0,1,1,4014.0,2018.0,4.0,2.0,0.0,0.0,0.0,4.93253767490387,Different,Same,correct
159.0,3.8650808334350586,1.0,0.0,,,,2.0,4.0,5,1,2022.0,4017.0,4.0,1.0,0.0,0.0,0.0,4.857251048088074,Different,Different,correct
160.0,5.396595001220703,1.0,1.0,,,,2.0,2.0,1,1,2012.0,2018.0,2.0,1.0,1.0,1.0,1.0,5.050623869895935,Same,Same,correct
161.0,5.946036338806152,1.0,0.0,,,,1.0,4.0,1,1,1011.0,4013.0,4.0,1.0,0.0,0.0,0.0,5.150067710876465,Different,Same,correct
162.0,4.877439737319946,1.0,0.0,,,,2.0,1.0,1,5,2011.0,1021.0,2.0,2.0,0.0,0.0,0.0,5.235245180130005,Different,Different,correct
163.0,5.283713102340698,1.0,5.0,,,,4.0,3.0,5,5,4024.0,3027.0,4.0,1.0,1.0,5.0,5.0,4.815584516525268,Different,Same,correct
164.0,3.0035736560821533,1.0,1.0,,,,3.0,3.0,1,1,3017.0,3011.0,3.0,1.0,1.0,1.0,1.0,4.597843980789184,Same,Same,correct
165.0,4.696183443069458,1.0,1.0,,,,1.0,3.0,5,1,1021.0,3019.0,3.0,2.0,1.0,1.0,1.0,4.6494357824325565,Different,Different,correct
