set,category,item_number,item_condition,filename,image_path,resmem_score,memnet_score
stimuli2,Person,12,1,12.jpg,..\psychophysics_WM\stimuli2\Person\12.jpg,0.9178000688552856,0.8978708982467651
stimuli2,Person,13,1,13.jpg,..\psychophysics_WM\stimuli2\Person\13.jpg,0.8644821643829346,0.8715651035308838
stimuli2,Person,14,1,14.jpg,..\psychophysics_WM\stimuli2\Person\14.jpg,0.753614604473114,0.8475478887557983
stimuli2,Person,15,1,15.jpg,..\psychophysics_WM\stimuli2\Person\15.jpg,0.8026540279388428,0.8834143877029419
stimuli2,Person,16,1,16.jpg,..\psychophysics_WM\stimuli2\Person\16.jpg,0.9117392301559448,0.8414180278778076
stimuli2,Person,17,1,17.jpg,..\psychophysics_WM\stimuli2\Person\17.jpg,0.8632402420043945,0.836005449295044
stimuli2,Person,18,1,18.jpg,..\psychophysics_WM\stimuli2\Person\18.jpg,0.6845710873603821,0.8250184059143066
stimuli2,Person,19,1,19.jpg,..\psychophysics_WM\stimuli2\Person\19.jpg,0.9451034665107727,0.7271404266357422
stimuli2,Person,20,5,20.jpg,..\psychophysics_WM\stimuli2\Person\20.jpg,0.8050931096076965,0.79104083776474
stimuli2,Person,21,5,21.jpg,..\psychophysics_WM\stimuli2\Person\21.jpg,0.7756376266479492,0.7903622984886169
stimuli2,Person,22,5,22.jpg,..\psychophysics_WM\stimuli2\Person\22.jpg,0.7766216397285461,0.8121433258056641
stimuli2,Person,23,5,23.jpg,..\psychophysics_WM\stimuli2\Person\23.jpg,0.8130059242248535,0.82225501537323
stimuli2,Person,24,5,24.jpg,..\psychophysics_WM\stimuli2\Person\24.jpg,0.75252765417099,0.7960420846939087
stimuli2,Person,25,5,25.jpg,..\psychophysics_WM\stimuli2\Person\25.jpg,0.8588456511497498,0.79088294506073
stimuli2,Person,26,5,26.jpg,..\psychophysics_WM\stimuli2\Person\26.jpg,0.6821807026863098,0.6880159974098206
stimuli2,Person,27,5,27.jpg,..\psychophysics_WM\stimuli2\Person\27.jpg,0.785326361656189,0.7533401250839233
stimuli2,Person,28,5,28.jpg,..\psychophysics_WM\stimuli2\Person\28.jpg,0.6870521306991577,0.797067403793335
stimuli2,Person,29,5,29.jpg,..\psychophysics_WM\stimuli2\Person\29.jpg,0.8199769258499146,0.8047001361846924
